Series_Title,Runtime_of_Series,Certificate,Genre,IMDB_Rating,Overview,Star1,Star2,Star3,Star4
I Dream of Jeannie,(1965–1970),,"Comedy, Family, Fantasy",7.4,A United States astronaut finds his life vastly complicated when he stumbles on to a bottle containing a female genie.,Barbara Eden,Larry Hagman,Bill Daily,Hayden Rorke
The Stand,(2020–2021),16,"Adventure, Drama, Fantasy",5.5,"After the world is in ruins, due to a man-made plague, a battle of Biblical proportions ensues between the survivors.",Whoopi Goldberg,Alexander Skarsgård,James Marsden,Odessa Young
Primeval,(2007–2011),,"Action, Adventure, Drama",7.3,"When strange anomalies start to appear all over England, Professor Cutter and his team must track down and capture all sorts of dangerous prehistoric creatures from Earth's distant past and near future.",Andrew Lee Potts,Hannah Spearritt,Ben Miller,Juliet Aubrey
Trollhunters,(2016–2018),16,"Animation, Action, Adventure",8.5,"An ordinary boy finds a magic amulet that chooses him to be a Trollhunter, a guardian that defends the world of humans and the secret world of trolls.",Charlie Saxton,Lexi Medrano,Anton Yelchin,Kelsey Grammer
The Eric Andre Show,(2012– ),,Comedy,8.6,"Eric Andre tries to host a talk show in a bizarre environment, where he is sometimes the player of pranks and sometimes the victim.",Eric André,Hannibal Buress,Robert Smith,Tom Ato
Are You Afraid of the Dark?,(1990–2000),,"Drama, Family, Fantasy",8.2,"A group of kids get together in the woods, and tell ghost stories.",Ross Hull,Daniel DeSanto,Raine Pare-Coull,Jodie Resther
Ben 10,(2005–2008),All,"Animation, Action, Adventure",7.2,"The story of Ben Tennyson, a typical kid who becomes very atypical after he discovers the Omnitrix, a mysterious alien device with the power to transform the wearer into ten different alien species.",Tara Strong,Paul Eiding,Meagan Moore,Dee Bradley Baker
Reba,(2001–2007),,"Comedy, Drama",6.5,"Reba McEntire stars as the titular character in this smash sitcom about a single mom of three, navigating life in a Houston suburb.",Reba McEntire,JoAnna Garcia Swisher,Steve Howey,Christopher Rich
McMafia,(2018– ),13,"Crime, Drama, Thriller",7.7,"Alex Godman has spent his life trying to escape the shadow of his family's past. But when a murder unearths their past, Alex is drawn into the criminal underworld where he must confront his values to protect those he loves.",James Norton,Merab Ninidze,Kirill Pirogov,Igor Pokrajac
The Brink,-2015,,Comedy,7.8,Top U.S. government and military scramble to prevent World War 3 from happening amidst the chaos of a geopolitical crisis.,Jack Black,Tim Robbins,Pablo Schreiber,Aasif Mandvi
Top Boy,(2011– ),18,"Crime, Drama, Thriller",8.4,Two London drug dealers ply their lucrative trade at a public housing estate in East London.,Ashley Walters,Kano,Shone Romulus,Micheal Ward
One Day at a Time,(2017–2020),,Comedy,8.2,"Follows three generations of the same Cuban-American family living in the same house: a newly divorced former military mother, her teenage daughter and tween son, and her old-school mother.",Justina Machado,Todd Grinnell,Isabella Gomez,Marcel Ruiz
Miranda,(2009–2015),,Comedy,8.2,"Socially inept Miranda always gets into awkward situations; working in her joke shop with best friend Stevie, being hounded by her pushy mother, and around her crush Gary.",Miranda Hart,Patricia Hodge,Tom Ellis,Sarah Hadland
Kurtlar Vadisi,(2003–2005),,"Action, Crime, Drama",7.5,Follows a Turkish agent working under the assumed identity of Polat Alemdar attempting to infiltrate the Turkish mafia.,Necati Sasmaz,Özgü Namal,Gürkan Uygun,Erdem Ergüney
Franklin & Bash,(2011–2014),,"Comedy, Crime, Drama",7.6,Lawyers and lifelong friends Jared Franklin and Peter Bash are recruited by a large firm's major partner after winning a high-profile case.,Mark-Paul Gosselaar,Breckin Meyer,Reed Diamond,Malcolm McDowell
Harley Quinn,(2019– ),,"Animation, Action, Adventure",8.5,"The series focuses on a single Harley Quinn, who sets off to make it on her own in Gotham City.",Kaley Cuoco,Lake Bell,Alan Tudyk,Ron Funches
The Avengers: Earth's Mightiest Heroes,(2010–2012),PG,"Animation, Action, Family",8.3,"After 74 villains break out of prison, Marvel's most powerful superheroes team up to capture all of them, and also to defend the Earth from widespread threats.",Eric Loomis,Colleen O'Shaughnessey,Brian Bloom,Rick D. Wasserman
Deadly Class,(2018–2019),18,"Action, Adventure, Comedy",7.6,"A coming-of-age story set against the backdrop of late 1980s counterculture, which follows a disillusioned teen recruited into a storied high school for assassins.",Benedict Wong,Benjamin Wadsworth,Lana Condor,María Gabriela de Faría
The Chosen,(2017– ),,"Drama, History",9.7,A charismatic fisherman drowning in debt. A troubled woman wrestling with real demons. A young tax collector ostracized by society. A religious leader questioning his faith tradition.,Shahar Isaac,Jonathan Roumie,Paras Patel,Noah James
The Wild Thornberrys,(1998–2004),,"Animation, Adventure, Comedy",6.7,"The life of an adventurous family, from the point of view of an eleven-year-old girl gifted with animal language.",Lacey Chabert,Jodi Carlisle,Tim Curry,Danielle Harris
The Twilight Zone,(2019– ),16,"Drama, Fantasy, Horror",5.8,"An updated version of the classic anthology series featuring various tales of science fiction, mystery, and horror.",Jordan Peele,David Epstein,Kelly Ann Woods,Mark Silverman
Kalifat,(2020– ),18,"Drama, Thriller",8.2,"Agent Fatima gets a tip that a terrorist act is planned in Sweden. At the same time, the teenager Sulle has opened her eyes to her student assistant who opens the doors to a new fascinating world.",Gizem Erdogan,Amed Bozan,Aliette Opheim,Albin Grenholm
Mahabharat,(1988–1990),12,"Adventure, Drama, History",8.9,"A dynastic struggle occurs for the throne of Hastinapur, the kingdom ruled by the Kuru clan, between the Kauravas and Pandavas, collateral branches of the clan, which causes the Kurukshetra War.",Harish Bhimani,Nitish Bharadwaj,Mukesh Khanna,Gajendra Chauhan
Prodigal Son,(2019– ),,"Crime, Drama, Mystery",7.7,"Malcolm Bright, one of the best criminal psychologists around, uses his twisted genius to help the NYPD solve crimes.",Tom Payne,Lou Diamond Phillips,Halston Sage,Aurora Perrineau
Everwood,(2002–2006),,Drama,7.4,"A widowed brain surgeon from Manhattan moves his two children to the small mountain town of Everwood, Colorado.",Treat Williams,Gregory Smith,Emily VanCamp,Debra Mooney
Girl Meets World,(2014–2017),,"Comedy, Drama, Family",7.2,"More than a decade after Boy Meets World (1993), Cory and Topanga Matthews are married and have two children. Their daughter, Riley, faces life lessons through her family, friends, and school--where her father is her history teacher--as her parents did when they were younger.",Rowan Blanchard,Sabrina Carpenter,Ben Savage,Danielle Fishel
Gilligan's Island,(1964–1967),,"Comedy, Family",7.3,Seven men and women are stranded on an uncharted island following a torrential storm.,Bob Denver,Alan Hale Jr.,Jim Backus,Natalie Schafer
For All Mankind,(2019– ),A,"Drama, Sci-Fi",7.7,"In an alternative version of 1969, the Soviet Union beats the United States to the Moon, and the space race continues on for decades with still grander challenges and goals.",Joel Kinnaman,Michael Dorman,Sarah Jones,Shantel VanSanten
Bonding,(2018– ),18,"Comedy, Drama",7.2,A New York City grad student moonlighting as a dominatrix enlists her gay BFF from high school to be her assistant.,Zoe Levin,Brendan Scannell,Micah Stock,Theo Stockman
Jessie,(2011–2015),,"Comedy, Family",5.9,A Texan teen moves to New York City to follow her dreams and ends up as a nanny for a high profile couple's four children.,Debby Ryan,Peyton List,Cameron Boyce,Karan Brar
Insecure,(2016– ),18,"Comedy, Romance",7.9,Follows the awkward experiences and racy tribulations of a modern-day African-American woman.,Issa Rae,Yvonne Orji,Jay Ellis,Natasha Rothwell
Life in Pieces,(2015–2019),,Comedy,8,A family comedy told through the separate stories of different family members.,Colin Hanks,Betsy Brandt,Thomas Sadoski,Zoe Lister-Jones
The Purge,(2018–2019),18,"Action, Drama, Horror",6.5,"Set in an altered United States, several unrelated people discover how far they will go to survive a night where all crime is legal for 12 hours.",Gabriel Chavarria,Derek Luke,Hannah Emily Anderson,Max Martini
Wallander,(2008–2016),,"Crime, Drama, Mystery",7.9,A television show centered on a soul-searching Swedish cop.,Kenneth Branagh,Richard McCabe,Jeany Spark,Sarah Smart
Doc Martin,(2004– ),16,"Comedy, Drama, Romance",8.3,"The trials and tribulations of Dr. Martin Ellingham (Martin Clunes), a socially challenged doctor who moves from London to the picturesque village of Port Wenn in Cornwall.",Martin Clunes,Caroline Catz,Ian McNeice,Joe Absolom
Late Show with David Letterman,(1993–2015),,"Comedy, Music, Talk-Show",6.9,The Late Show with David Letterman is an hour-long weeknight comedy and talk-show broadcast by CBS from the Ed Sullivan Theater on Broadway in New York City.,David Letterman,Paul Shaffer,Alan Kalter,Biff Henderson
Frequency,(2016–2017),,"Drama, Fantasy, Mystery",7.5,"A police detective in 2016 discovers that she is able to communicate with her father via a ham radio, despite the fact that he died in 1996.",Peyton List,Riley Smith,Devin Kelley,Mekhi Phifer
Step by Step,(1991–1998),,"Comedy, Family, Romance",6.5,"Two families become one, step by step.",Patrick Duffy,Suzanne Somers,Brandon Call,Staci Keanan
StartUp,(2016–2018),18,"Crime, Thriller",8,"A desperate banker, a Haitian-American gang lord and a Cuban-American hacker are forced to work together to unwittingly create their version of the American dream - organized crime 2.0.",Adam Brody,Edi Gathegi,Otmara Marrero,Kristen Ariza
Foyle's War,(2002–2015),,"Crime, Drama, Mystery",8.4,"As WWII rages, DCS Foyle fights his own war on the home-front; investigating crime on the south coast of England. Later series, see the retired detective working as an MI5 agent in the aftermath of the war.",Michael Kitchen,Honeysuckle Weeks,Anthony Howell,Ellie Haddington
Yes Minister,(1980–1984),,Comedy,8.6,"The Right Honorable James Hacker has landed the plum job of Cabinet Minister to the Department of Administration. At last he is in a position of power and can carry out some long-needed reforms, or so he thinks.",Paul Eddington,Nigel Hawthorne,Derek Fowlds,Diana Hoddinott
In the Flesh,(2013–2014),,"Drama, Horror",8,"Four years after the Rising, the government starts to rehabilitate the Undead for reentry into society, including teenager Kieren Walker, who returns to his small Lancashire village to face a hostile reception, as well as his own demons.",Luke Newberry,Harriet Cains,Marie Critchley,Steve Cooper
Secret Diary of a Call Girl,(2007–2011),,Drama,7.4,Based on the popular diary of the anonymous sex worker known only as Belle de Jour.,Billie Piper,Iddo Goldberg,Cherie Lunghi,Ashley Madekwe
Video Game High School,(2012–2014),,"Action, Romance, Sci-Fi",7.6,"In a futuristic world where gaming is the top sport, a teenager attends a school which specializes in a curriculum of video games in each genre.",Josh Blaylock,Ellary Porterfield,Johanna Braddy,Jimmy Wong
Inside No. 9,(2014– ),,"Comedy, Drama, Horror",8.5,"Anthology series which mixes dark humor with genres like crime, horror or drama. The show invites viewers into some very different No.9s, where the ordinary and mundane rub shoulders with the extraordinary and macabre.",Reece Shearsmith,Steve Pemberton,Rosie Cavaliero,Aimee-Ffion Edwards
Legends,(2014–2015),,"Action, Crime, Drama",7.5,"Follows a deep-cover operative named Martin Odum, who has an uncanny ability to transform himself into a different person for each job. But his own identity comes into question when a ...                See full summary »",Sean Bean,Morris Chestnut,Ali Larter,Tina Majorino
Mistresses,(I) (2013–2016),,"Drama, Romance, Thriller",7.1,"Follows the scandalous lives of a group of four girlfriends, each on her own path to self-discovery as they brave the turbulent journey together.",Alyssa Milano,Jes Macallan,Rochelle Aytes,Yunjin Kim
Unforgotten,(2015– ),,"Crime, Drama, Mystery",8.2,"London detectives investigate crimes from the past, unravelling secrets left buried for years.",Nicola Walker,Sanjeev Bhaskar,Lewis Reeves,Jordan Long
H2O: Just Add Water,(2006–2010),7,"Drama, Family, Fantasy",7.2,Three girls become mermaids after a mysterious island transforms them and gives them special powers.,Cariba Heine,Phoebe Tonkin,Angus McLaren,Burgess Abernethy
The Munsters,(1964–1966),,"Comedy, Family, Fantasy",7.8,"A family of friendly monsters have misadventures, never quite understanding why people react to them so strangely.",Fred Gwynne,Al Lewis,Yvonne De Carlo,Butch Patrick
Ergo Proxy,-2006,18,"Animation, Action, Adventure",8,"In a post-apocalyptic future humans live in peace with androids in a domed city. However, a strange series of murders has intruded into bored inspector Re-l Mayer's life.",Kôji Yusa,Akiko Yajima,Rachel Hirschfeld,Liam O'Brien
Absentia,(2017– ),16,"Crime, Drama, Mystery",7.3,"After being declared dead in absentia, an FBI agent must reclaim her family, identity and innocence when she finds herself the prime suspect in a string of murders.",Stana Katic,Patrick Heusinger,Neil Jackson,Paul Freeman
"Midnight, Texas",(2017–2018),,"Drama, Fantasy, Mystery",7.4,"Midnight is a safe haven for those who are different, but with the presence of outsiders, the residents band together and form a strong and unlikely family.",François Arnaud,Dylan Bruce,Parisa Fitz-Henley,Arielle Kebbel
Late Night with Jimmy Fallon,(2009–2014),,"Comedy, Music, Talk-Show",6.8,Comedian Jimmy Fallon hosts a late-night talk show.,Jimmy Fallon,The Roots,Steve Higgins,Bashir Salahuddin
Bandish Bandits,(2020– ),16,"Drama, Romance",8.6,"Indian classical singer Radhe and pop star Tamanna. Despite their contrasting personalities, the two ""set out together on a journey of self-discovery to see if opposites, though they might attract, can also adapt and go the long haul.",Ritwik Bhowmik,Shreya Chaudhary,Naseeruddin Shah,Sheeba Chaddha
The Brady Bunch,(1969–1974),,"Comedy, Family",6.7,The misadventures of a large family united when a widower and a widow marry.,Robert Reed,Florence Henderson,Ann B. Davis,Maureen McCormick
